ID,RANK,TITULO,TITULO COMPLETO,ANO DE LANÇAMENTO,DIRETOR,ELENCO,NOTA DO PUBLICO,NUMERO DE VOTOS,MEDIA DE VOTOS
120382,168,The Truman Show,The Truman Show (1998),1998,Peter Weir ," Jim Carrey, Ed Harris",8.1,923503,0.6899954246017813
266543,169,Finding Nemo,Finding Nemo (2003),2003,Andrew Stanton ," Albert Brooks, Ellen DeGeneres",8.1,937467,0.7004286295931449
50986,170,Wild Strawberries,Wild Strawberries (1957),1957,Ingmar Bergman ," Victor Sjöström, Bibi Andersson",8.1,94470,0.0705832766781811
83658,171,Blade Runner,Blade Runner (1982),1982,Ridley Scott ," Harrison Ford, Rutger Hauer",8.1,685226,0.5119667232463567
79944,172,Stalker,Stalker (1979),1979,Andrei Tarkovsky ," Alisa Freyndlikh, Aleksandr Kaydanovskiy",8.1,114354,0.08543961068335684
266697,173,Kill Bill: Vol. 1,Kill Bill: Vol. 1 (2003),2003,Quentin Tarantino ," Uma Thurman, David Carradine",8.1,987688,0.7379512583435941
50212,174,The Bridge on the River Kwai,The Bridge on the River Kwai (1957),1957,David Lean ," William Holden, Alec Guinness",8.1,201034,0.15020258752748447
3170832,175,Room,Room (2015),2015,Lenny Abrahamson ," Brie Larson, Jacob Tremblay",8.1,363792,0.27180725510012554
353969,176,Memories of Murder,Memories of Murder (2003),2003,Bong Joon Ho ," Kang-ho Song, Sang-kyung Kim",8.1,133349,0.09963172818628953
116282,177,Fargo,Fargo (1996),1996,Joel Coen ," William H. Macy, Frances McDormand",8.1,608431,0.45458932584505557
46438,178,Tokyo Story,Tokyo Story (1953),1953,Yasujirô Ozu ," Chishû Ryû, Chieko Higashiyama",8.1,51808,0.03870835607222617
1205489,179,Gran Torino,Gran Torino (2008),2008,Clint Eastwood ," Clint Eastwood, Bee Vang",8.1,713370,0.5329945176660744
41959,180,The Third Man,The Third Man (1949),1949,Carol Reed ," Orson Welles, Joseph Cotten",8.1,156949,0.11726447222783788
47296,181,On the Waterfront,On the Waterfront (1954),1954,Elia Kazan ," Marlon Brando, Karl Malden",8.1,140250,0.10478781151809992
